,btc,eth,avax,luna,xrp,ftm,ada,doge,sol,bnb,trx,dot,etc,xmr,eos
2022-08-14,24313.71,1936.02,28.18,2.046,0.3756,0.3875,0.57,0.08168,44.87,317.75,0.07037,8.955,41.54,165.15,1.309
2022-08-15,24101.69,1899.64,27.89,1.984,0.3751,0.3715,0.5501,0.07665,43.73,319.58,0.06887,8.787,41.96,163.17,1.275
2022-08-16,23858.64,1877.16,27.12,1.999,0.377,0.3684,0.5571,0.08679,43.09,316.17,0.06973,8.841,39.89,169.26,1.382
2022-08-17,23338.03,1834.04,25.56,1.93,0.3794,0.3482,0.5384,0.08015,40.53,306.88,0.0683,8.369,40.28,168.57,1.479
2022-08-18,23201.51,1846.36,24.19,1.765,0.3703,0.3306,0.512,0.07477,39.51,298.11,0.06738,8.082,39.57,161.06,1.483
2022-08-19,20833.43,1609.05,22.44,1.595,0.3345,0.2998,0.4503,0.06778,35.82,279.11,0.06406,7.308,32.98,142.34,1.275
2022-08-20,21142.06,1575.73,22.3,1.622,0.3369,0.2979,0.4512,0.06934,35.28,283.64,0.06579,7.228,32.82,148.95,1.409
2022-08-21,21514.79,1617.86,22.97,1.677,0.3447,0.3071,0.4626,0.06933,36.48,301.88,0.06589,7.435,33.72,154.33,1.568
2022-08-22,21399.66,1624.65,22.56,1.669,0.3439,0.2961,0.4615,0.0684,35.42,299.91,0.06562,7.403,34.1,153.89,1.841
2022-08-23,21520.62,1664.76,23.5,1.808,0.347,0.3054,0.4653,0.06877,35.65,299.15,0.0663,7.635,34.34,154.65,1.805
2022-08-24,21369.05,1656.52,23.01,1.716,0.3455,0.3016,0.4576,0.0679,34.88,296.34,0.0648,7.565,35.38,150.66,1.775
2022-08-25,21565.47,1695.85,22.99,1.821,0.3494,0.307,0.4643,0.06902,35.28,301.46,0.0655,7.583,37.15,153.98,1.739
2022-08-26,20247.99,1508.09,20.67,1.62,0.339,0.2735,0.4317,0.06354,31.73,279.53,0.06157,6.925,33.92,142.8,1.552
2022-08-27,20038.42,1491.26,20.03,1.627,0.3347,0.2744,0.4499,0.06351,31.52,277.81,0.0629,7.043,33.0,145.12,1.54
2022-08-28,19554.08,1426.4,18.52,1.544,0.3222,0.2648,0.4291,0.0618,30.43,276.36,0.06141,6.859,30.92,146.44,1.428
2022-08-29,20292.37,1552.4,19.33,1.64,0.3338,0.2819,0.4505,0.06386,32.43,286.02,0.06337,7.276,33.56,152.63,1.495
2022-08-30,19813.51,1524.62,19.38,1.73,0.3266,0.2737,0.4529,0.06153,31.47,281.52,0.06473,7.007,32.32,148.83,1.392
2022-08-31,20050.28,1554.16,19.14,1.779,0.3277,0.2731,0.446,0.06136,31.49,279.12,0.06339,7.033,32.42,149.2,1.375
2022-09-01,20129.93,1585.98,19.31,1.994,0.3331,0.2725,0.4575,0.06237,31.6,278.27,0.06328,7.178,32.98,154.4,1.476
2022-09-02,19957.44,1575.91,18.87,1.852,0.3313,0.2685,0.4544,0.06166,31.24,277.45,0.0626,7.299,32.45,153.54,1.543
2022-09-03,19834.79,1557.54,18.9,1.858,0.3296,0.2671,0.4803,0.06272,31.11,277.89,0.0631,7.288,32.23,154.4,1.519
2022-09-04,20003.46,1579.06,19.01,1.813,0.3317,0.2727,0.5035,0.06323,32.16,279.13,0.06351,7.374,32.47,155.63,1.496
2022-09-05,19793.29,1617.5,19.44,2.006,0.3328,0.2643,0.4987,0.06274,32.17,276.87,0.06295,7.367,39.62,157.5,1.564
2022-09-06,18791.95,1558.9,18.21,1.847,0.3212,0.2447,0.4625,0.05889,30.89,262.3,0.06069,6.873,34.43,144.92,1.395
2022-09-07,19287.52,1630.0,19.01,1.88,0.3369,0.2537,0.4787,0.06098,32.7,279.07,0.06181,7.198,37.33,149.36,1.664
2022-09-08,19321.77,1635.6,19.14,1.907,0.3396,0.253,0.4791,0.06096,33.61,280.66,0.06127,7.386,37.13,152.22,1.603
2022-09-09,21369.73,1719.35,20.4,5.095,0.3571,0.2732,0.5024,0.06389,34.69,293.6,0.06346,7.759,39.2,161.41,1.662
2022-09-10,21655.13,1774.69,20.46,6.45,0.3575,0.2745,0.5123,0.06471,35.06,296.73,0.06476,7.778,39.24,157.68,1.748
2022-09-11,21836.45,1767.02,20.69,5.755,0.3552,0.2728,0.5101,0.06372,35.01,295.4,0.06414,7.708,38.56,159.03,1.714
2022-09-12,22400.52,1716.53,21.39,4.019,0.3598,0.2693,0.5015,0.06397,37.46,294.11,0.06387,7.664,38.45,164.05,1.658
2022-09-13,20173.77,1574.56,18.87,4.151,0.3326,0.2478,0.4636,0.05966,32.99,277.5,0.06069,7.069,35.3,145.53,1.472
2022-09-14,20233.68,1639.6,19.12,3.047,0.3418,0.2511,0.4811,0.06116,34.12,279.36,0.06163,7.206,39.31,149.95,1.474
2022-09-15,19700.15,1472.51,18.2,2.723,0.3262,0.2406,0.4661,0.05863,33.07,271.09,0.06128,6.931,35.68,145.75,1.382
2022-09-16,19804.02,1433.97,18.06,3.085,0.3553,0.247,0.4747,0.06048,32.24,274.89,0.06132,6.905,34.04,149.19,1.423
2022-09-17,20118.35,1469.05,18.48,3.088,0.3763,0.2524,0.4862,0.06219,33.69,279.06,0.06229,7.059,34.43,147.52,1.472
2022-09-18,19417.72,1334.3,16.72,2.744,0.3578,0.224,0.4477,0.05743,31.1,266.39,0.0608,6.444,29.58,140.58,1.274
2022-09-19,19541.28,1376.21,17.28,2.909,0.3848,0.2301,0.4526,0.05857,32.63,272.04,0.06029,6.385,30.41,140.39,1.298
2022-09-20,18879.95,1323.07,16.65,2.699,0.4144,0.2262,0.4422,0.05842,31.42,266.39,0.05979,6.287,29.13,142.45,1.338
2022-09-21,18468.05,1246.29,16.54,2.497,0.3942,0.22,0.439,0.05718,30.69,264.14,0.05906,6.126,27.71,135.45,1.184
2022-09-22,19405.96,1326.15,17.7,2.628,0.4855,0.2327,0.458,0.0596,32.42,275.37,0.06023,6.443,28.62,144.08,1.238
2022-09-23,19291.13,1326.95,17.97,2.625,0.5068,0.2339,0.4618,0.06335,33.66,276.63,0.06042,6.435,28.89,141.47,1.229
2022-09-24,18924.39,1317.11,17.6,2.404,0.488,0.2278,0.4511,0.0631,33.39,274.54,0.05985,6.272,28.67,141.95,1.198
2022-09-25,18809.94,1294.72,17.32,2.188,0.4916,0.2247,0.4464,0.06119,32.33,274.34,0.0597,6.205,28.38,141.23,1.166
2022-09-26,19230.96,1336.65,17.57,2.704,0.4682,0.2289,0.4471,0.06113,33.88,276.24,0.0596,6.556,28.47,145.79,1.183
2022-09-27,19081.4,1328.11,17.29,2.485,0.4464,0.2278,0.4413,0.06051,32.68,272.23,0.05938,6.367,28.13,144.37,1.156
2022-09-28,19412.67,1337.15,17.25,2.501,0.4489,0.2275,0.4362,0.06051,33.23,281.63,0.05953,6.388,27.63,147.25,1.147
2022-09-29,19593.46,1335.9,17.34,2.466,0.487,0.2281,0.4381,0.06083,33.93,284.12,0.06099,6.432,27.81,148.31,1.205
2022-09-30,19425.63,1328.7,17.21,2.483,0.4797,0.2251,0.4348,0.06167,33.25,284.84,0.061,6.321,27.75,147.45,1.183
2022-10-01,19313.96,1311.8,16.96,2.477,0.4754,0.2243,0.4301,0.0606,32.44,282.89,0.06048,6.269,27.55,141.23,1.224
2022-10-02,19058.15,1276.69,16.53,2.469,0.4484,0.2179,0.4195,0.05927,32.06,284.79,0.06092,6.159,26.94,137.12,1.16
2022-10-03,19632.35,1323.32,17.16,2.452,0.4622,0.224,0.4276,0.06035,32.9,287.07,0.06135,6.369,27.43,142.03,1.187
2022-10-04,20344.58,1361.9,17.45,2.562,0.4796,0.2278,0.4356,0.06585,34.11,296.37,0.06238,6.496,27.89,147.17,1.2
2022-10-05,20160.74,1352.44,17.39,2.553,0.489,0.2263,0.431,0.06479,34.05,294.2,0.06244,6.436,27.62,146.3,1.176
2022-10-06,19965.12,1352.4,17.05,2.471,0.4934,0.2221,0.4288,0.06343,33.36,287.12,0.06281,6.345,27.83,149.07,1.156
2022-10-07,19532.81,1331.14,16.9,2.504,0.5182,0.2227,0.4241,0.06237,32.99,282.28,0.0625,6.327,27.5,146.69,1.12
2022-10-08,19419.32,1315.47,16.79,2.492,0.5171,0.2214,0.4221,0.06165,32.59,276.35,0.06204,6.311,26.96,147.63,1.111
2022-10-09,19442.41,1323.41,16.9,2.532,0.5321,0.222,0.423,0.06212,32.93,278.31,0.06234,6.48,26.97,145.73,1.121
2022-10-10,19131.36,1290.04,16.22,2.512,0.4948,0.2084,0.4011,0.0594,31.95,271.7,0.06274,6.253,24.23,142.29,1.035
2022-10-11,19058.29,1279.79,15.96,2.422,0.4858,0.2052,0.3906,0.06023,30.79,271.34,0.06168,6.178,23.73,144.62,1.044
2022-10-12,19154.85,1294.29,15.95,2.846,0.4882,0.2078,0.3813,0.05982,31.16,270.95,0.06172,6.174,23.79,144.79,1.039
2022-10-13,19378.91,1287.51,15.67,2.637,0.4797,0.206,0.377,0.05967,30.51,271.86,0.06099,6.113,23.0,142.83,1.015
2022-10-14,19182.01,1296.63,15.67,2.84,0.4885,0.2024,0.3668,0.05866,30.0,269.53,0.06401,6.045,23.14,140.64,1.008
2022-10-15,19069.72,1274.91,15.43,2.727,0.4818,0.2023,0.3642,0.05858,29.59,268.1,0.06174,6.049,22.79,139.67,1.051
2022-10-16,19264.26,1305.87,15.75,2.617,0.4766,0.2075,0.3704,0.05891,30.16,272.53,0.06184,6.183,23.13,143.12,1.051
2022-10-17,19550.49,1331.52,16.18,2.64,0.4799,0.2125,0.3726,0.05997,31.21,275.75,0.06266,6.252,23.88,143.72,1.065
2022-10-18,19330.29,1310.78,15.87,2.517,0.4658,0.2089,0.3623,0.05976,30.14,273.18,0.06219,6.157,23.4,146.16,1.049
2022-10-19,19123.89,1284.85,15.06,2.442,0.4506,0.1991,0.3497,0.05869,28.85,271.92,0.06176,6.104,22.34,145.01,1.005
2022-10-20,19043.54,1282.68,15.14,2.343,0.4466,0.1995,0.34,0.05943,28.01,268.93,0.06214,5.886,21.68,141.22,1.043
2022-10-21,19166.4,1299.88,15.7,2.351,0.4615,0.2051,0.3492,0.05933,28.1,270.04,0.06167,5.834,22.05,140.69,1.068
2022-10-22,19207.57,1313.91,15.69,2.35,0.4655,0.2045,0.3514,0.05971,28.01,270.44,0.06156,5.845,23.25,142.81,1.065
2022-10-23,19572.6,1364.2,16.31,2.457,0.4689,0.2095,0.3622,0.06038,29.28,276.0,0.06193,5.964,23.47,144.46,1.091
2022-10-24,19331.06,1343.83,15.76,2.371,0.4532,0.2033,0.3573,0.05947,28.3,274.23,0.06132,5.914,22.66,143.13,1.067
2022-10-25,20087.18,1460.37,16.64,2.415,0.4608,0.2113,0.4,0.06303,30.88,284.26,0.06236,6.441,24.68,143.93,1.098
2022-10-26,20776.76,1566.85,17.02,2.459,0.469,0.2196,0.4031,0.07276,31.29,290.4,0.06342,6.469,25.5,146.83,1.128
2022-10-27,20295.28,1514.35,16.9,2.4,0.4617,0.2167,0.3883,0.07689,30.58,286.95,0.06296,6.329,24.75,145.81,1.125
2022-10-28,20599.89,1555.12,18.34,2.431,0.4744,0.2251,0.4045,0.08387,32.07,298.09,0.06356,6.52,25.49,146.75,1.137
2022-10-29,20820.19,1620.42,18.3,2.437,0.4703,0.2253,0.4205,0.1218,32.88,304.64,0.06429,6.639,25.87,149.03,1.136
2022-10-30,20630.65,1590.93,18.25,2.504,0.4582,0.2377,0.4058,0.1177,32.94,313.73,0.0631,6.651,24.52,147.44,1.113
2022-10-31,20492.56,1572.88,19.29,2.443,0.4645,0.2392,0.4056,0.1269,32.56,325.59,0.06326,6.623,24.26,149.67,1.147
2022-11-01,20480.27,1578.51,18.63,2.376,0.4635,0.2307,0.4012,0.1422,32.2,323.89,0.06278,6.458,24.04,149.61,1.142
2022-11-02,20150.33,1518.33,17.92,2.309,0.4498,0.2201,0.3857,0.1277,30.81,320.23,0.06155,6.254,22.96,146.93,1.119
2022-11-03,20207.99,1530.87,18.04,2.377,0.4549,0.2572,0.3894,0.1226,30.85,329.55,0.06175,6.425,24.02,149.33,1.149
2022-11-04,21150.6,1645.06,19.39,2.585,0.5064,0.2755,0.4216,0.1262,33.74,354.64,0.06384,7.058,25.78,158.51,1.196
2022-11-05,21301.57,1627.42,19.6,2.478,0.4931,0.2882,0.4265,0.1245,36.89,349.47,0.06363,7.024,26.52,157.31,1.169
2022-11-06,20910.59,1568.75,18.25,2.387,0.4712,0.2651,0.4021,0.1149,32.62,338.13,0.0627,6.815,24.85,154.98,1.115
2022-11-07,20593.73,1568.45,18.08,2.426,0.4649,0.2624,0.4041,0.1112,29.62,337.08,0.0623,7.119,25.05,155.23,1.134
2022-11-08,18544.7,1334.22,16.02,1.914,0.4061,0.2159,0.3723,0.08824,24.02,328.25,0.05886,6.306,21.88,138.42,0.9671
2022-11-09,15820.02,1104.17,12.86,1.605,0.329,0.17,0.3171,0.07421,14.17,260.82,0.06438,5.398,18.33,119.54,0.8223
2022-11-10,17559.67,1296.01,15.37,1.819,0.3942,0.2081,0.3678,0.08957,17.6,303.18,0.05774,5.953,21.95,133.26,0.9413
2022-11-11,17007.72,1285.23,14.09,1.728,0.3839,0.1968,0.3545,0.08488,16.35,289.0,0.05592,5.741,21.5,128.13,0.9337
2022-11-12,16773.9,1254.95,13.08,1.698,0.3632,0.1852,0.3392,0.08803,14.55,281.54,0.05495,5.765,20.47,128.53,0.8916
2022-11-13,16307.47,1219.85,13.0,1.65,0.3399,0.1809,0.3294,0.08488,13.17,276.38,0.05086,5.74,19.9,127.17,0.8839
2022-11-14,16592.04,1241.39,13.12,1.666,0.3763,0.1816,0.3317,0.0858,13.98,278.18,0.0501,5.857,20.44,129.82,0.9171
2022-11-15,16879.14,1252.0,13.5,1.695,0.3882,0.1879,0.3369,0.08694,14.29,276.79,0.05071,5.909,20.55,128.99,0.9276
2022-11-16,16648.05,1215.24,13.06,1.66,0.3751,0.182,0.3317,0.08544,14.27,271.8,0.05017,5.707,19.93,132.12,0.9008
2022-11-17,16680.21,1199.45,12.85,1.663,0.3816,0.1777,0.3248,0.08458,13.64,267.85,0.05007,5.666,19.65,133.12,0.9012
2022-11-18,16677.95,1210.98,12.99,1.687,0.3824,0.1811,0.3256,0.08461,13.25,273.51,0.05068,5.638,19.54,133.31,0.9017
2022-11-19,16683.72,1216.52,12.87,1.672,0.3841,0.1838,0.3278,0.08441,12.82,272.1,0.05214,5.594,19.5,134.47,0.9032
2022-11-20,16253.6,1140.47,12.17,1.56,0.3609,0.172,0.3118,0.07692,12.26,263.88,0.05005,5.284,18.15,129.74,0.8744
2022-11-21,15760.19,1105.99,11.82,1.479,0.364,0.169,0.3043,0.0746,11.83,253.56,0.05148,5.18,18.01,126.12,0.8516
2022-11-22,16198.25,1137.75,12.33,1.54,0.3753,0.1766,0.3122,0.07856,12.43,265.98,0.05067,5.274,18.46,134.21,0.8805
2022-11-23,16590.98,1183.69,13.07,1.577,0.3813,0.1843,0.3182,0.08186,14.34,298.5,0.05179,5.429,20.35,134.98,0.9115
2022-11-24,16588.46,1202.96,12.94,1.562,0.4017,0.1847,0.316,0.08142,14.59,299.8,0.05283,5.382,20.21,136.71,0.912
2022-11-25,16508.33,1198.4,12.81,1.55,0.4077,0.1858,0.3145,0.08941,14.01,300.53,0.05293,5.261,20.08,135.91,0.9334
2022-11-26,16451.53,1204.94,12.76,1.561,0.3962,0.1859,0.3134,0.08885,14.17,311.18,0.05279,5.296,19.87,138.4,0.9325
2022-11-27,16420.87,1193.2,12.84,1.587,0.3964,0.1849,0.3123,0.09856,14.1,307.67,0.05327,5.299,19.81,136.07,0.93
2022-11-28,16207.01,1167.3,12.45,1.569,0.3891,0.2049,0.3064,0.09511,13.33,293.22,0.05303,5.129,19.33,134.57,0.905
2022-11-29,16431.79,1215.7,12.47,1.597,0.398,0.2168,0.309,0.1014,13.34,294.97,0.05325,5.302,19.5,137.02,0.9179
2022-11-30,17162.35,1294.92,13.16,1.617,0.4079,0.245,0.3189,0.1068,14.15,300.54,0.05461,5.463,20.28,141.74,0.9491
2022-12-01,16978.64,1276.36,12.9,1.643,0.3964,0.2543,0.3144,0.1017,13.52,292.32,0.05415,5.405,19.75,144.43,0.9321
2022-12-02,17094.49,1295.61,13.58,1.668,0.3958,0.2455,0.3192,0.1022,13.72,293.48,0.05444,5.617,19.85,145.32,0.9419
2022-12-03,16888.31,1241.13,13.41,1.625,0.3873,0.2371,0.3197,0.0996,13.3,290.31,0.0536,5.494,19.23,144.98,0.9224
2022-12-04,17111.76,1279.89,13.93,1.649,0.3896,0.2421,0.3225,0.1041,13.71,292.07,0.05312,5.59,19.5,141.77,0.9301
2022-12-05,16966.84,1259.37,13.6,1.628,0.3895,0.2524,0.3195,0.1015,13.82,288.61,0.05335,5.485,19.44,144.8,0.9316
2022-12-06,17086.52,1271.38,13.68,1.626,0.3914,0.2465,0.3182,0.1002,14.29,290.1,0.05365,5.497,19.53,143.04,0.9586
2022-12-07,16837.85,1231.35,13.27,1.572,0.3833,0.2306,0.3103,0.09576,13.5,284.07,0.05311,5.293,18.71,143.43,0.9902
2022-12-08,17226.02,1280.28,13.42,1.65,0.3944,0.2378,0.3144,0.09851,13.69,290.43,0.0545,5.426,19.18,147.32,0.9953
2022-12-09,17126.85,1262.95,13.46,1.631,0.3889,0.2408,0.3118,0.09669,13.58,285.9,0.05463,5.293,19.18,148.73,1.032
2022-12-10,17129.19,1266.34,13.48,1.643,0.3865,0.2394,0.3126,0.09629,13.57,288.09,0.05481,5.273,19.13,149.37,1.033
2022-12-11,17094.83,1263.27,12.99,1.595,0.381,0.2338,0.3075,0.0927,13.43,284.75,0.05397,5.161,18.9,150.31,1.005
2022-12-12,17208.66,1275.37,13.0,1.629,0.3871,0.2338,0.307,0.09029,13.32,275.7,0.05353,5.17,18.54,150.13,0.9815
2022-12-13,17775.32,1320.43,13.76,1.666,0.3951,0.249,0.314,0.09102,13.89,271.97,0.05449,5.278,19.26,151.64,0.9996
2022-12-14,17801.37,1307.5,13.7,1.632,0.3852,0.2408,0.308,0.0883,14.12,267.52,0.05559,5.212,18.76,148.46,0.9777
2022-12-15,17359.21,1266.59,13.18,1.608,0.3785,0.2286,0.3003,0.08484,14.04,258.66,0.05579,5.226,18.17,148.68,0.9562
2022-12-16,16658.44,1167.85,11.81,1.301,0.3517,0.197,0.2634,0.07555,12.24,231.2,0.05294,4.656,15.89,141.69,0.8747
2022-12-17,16780.55,1187.11,11.96,1.337,0.3547,0.2074,0.2675,0.07923,12.51,242.18,0.05489,4.705,16.2,142.94,0.8921
2022-12-18,16742.74,1183.19,11.93,1.318,0.3501,0.2054,0.2661,0.07847,12.37,250.73,0.05376,4.653,15.95,143.67,0.8826
2022-12-19,16442.79,1167.68,11.4,1.232,0.3391,0.1956,0.2529,0.07135,11.94,240.61,0.05357,4.477,15.22,143.53,0.8475
2022-12-20,16901.12,1216.96,11.95,1.305,0.3484,0.2037,0.2588,0.07485,12.26,251.27,0.05494,4.607,15.96,146.34,0.8904
2022-12-21,16821.13,1213.84,11.71,1.23,0.3451,0.2024,0.2534,0.07375,12.14,245.87,0.05491,4.481,16.64,146.71,0.8888
2022-12-22,16816.01,1217.51,11.84,1.274,0.3494,0.2052,0.2566,0.07686,11.81,245.74,0.05552,4.531,16.51,145.05,0.8869
2022-12-23,16780.97,1219.97,11.79,1.277,0.3546,0.2048,0.2595,0.0772,11.78,246.12,0.05422,4.467,16.4,142.81,0.886
2022-12-24,16837.16,1220.49,11.67,1.276,0.3521,0.2041,0.2592,0.07753,11.45,244.44,0.05476,4.447,16.45,142.94,0.8793
2022-12-25,16829.1,1218.3,11.69,1.274,0.3457,0.2028,0.2592,0.07596,11.39,243.16,0.05479,4.489,16.2,144.56,0.8778
2022-12-26,16916.07,1227.3,11.71,1.316,0.3661,0.2052,0.2652,0.07568,11.33,244.29,0.05457,4.582,16.25,146.23,0.888
2022-12-27,16700.54,1211.07,11.65,1.366,0.3675,0.2024,0.2603,0.07369,11.09,246.45,0.05414,4.482,15.85,144.97,0.896
2022-12-28,16540.47,1189.27,11.21,1.281,0.3558,0.198,0.2483,0.07036,9.759,244.24,0.05414,4.284,15.11,146.29,0.8699
2022-12-29,16631.24,1200.06,10.98,1.276,0.3422,0.2018,0.244,0.07092,9.641,246.23,0.05402,4.306,15.71,145.08,0.8653
2022-12-30,16599.47,1199.12,10.86,1.252,0.345,0.1989,0.2455,0.06836,9.909,245.53,0.05437,4.321,15.54,145.55,0.8628
2022-12-31,16531.31,1195.0,10.89,1.257,0.3389,0.1997,0.2456,0.07013,9.952,246.01,0.05449,4.3,15.67,146.77,0.8608
2023-01-01,16613.87,1200.1,10.87,1.28,0.3387,0.2009,0.2499,0.0702,9.99,244.18,0.0548,4.368,15.78,148.04,0.8779
2023-01-02,16670.08,1213.98,11.16,1.319,0.3483,0.2102,0.2537,0.07135,11.28,245.16,0.05515,4.493,16.11,147.41,0.8815
2023-01-03,16670.16,1214.11,11.38,1.311,0.3436,0.2145,0.2527,0.07045,13.39,246.09,0.05479,4.525,15.89,147.87,0.8803
2023-01-04,16846.82,1256.42,12.08,1.328,0.3476,0.2187,0.268,0.07312,13.44,258.79,0.05477,4.629,19.19,150.37,0.9074
2023-01-05,16825.87,1250.73,11.74,1.302,0.3379,0.2161,0.2692,0.07148,13.43,256.29,0.05371,4.623,18.22,155.58,0.8919
2023-01-06,16946.16,1268.71,11.77,1.327,0.3445,0.2213,0.2786,0.07243,13.5,259.82,0.05248,4.681,20.43,154.31,0.8951
2023-01-07,16942.73,1263.86,11.74,1.316,0.3443,0.2271,0.2768,0.07217,13.1,261.19,0.05202,4.661,20.02,155.47,0.8892
2023-01-08,17115.81,1288.62,12.08,1.355,0.3447,0.2368,0.2973,0.07358,14.45,274.85,0.05429,4.81,20.35,154.96,0.9101
2023-01-09,17179.03,1320.11,12.19,1.573,0.3491,0.2369,0.3167,0.07562,16.26,272.49,0.05463,4.885,20.1,158.28,0.9365
2023-01-10,17442.44,1335.42,12.73,1.578,0.351,0.2432,0.3223,0.0778,16.21,277.1,0.05484,4.915,20.23,160.73,0.9468
2023-01-11,17938.0,1388.95,15.86,1.555,0.3729,0.2561,0.3231,0.07813,16.37,284.59,0.05649,5.129,20.5,169.47,0.9773
2023-01-12,18849.0,1416.05,15.45,1.637,0.3747,0.2727,0.3295,0.08028,16.6,287.79,0.05711,5.224,20.88,167.24,0.9895
2023-01-13,19932.05,1451.18,15.97,1.697,0.3861,0.293,0.3458,0.08452,18.29,293.57,0.06008,5.408,21.61,170.24,1.01
2023-01-14,20954.52,1550.07,16.94,1.832,0.3953,0.3478,0.3526,0.0873,24.24,304.88,0.06178,6.035,22.5,174.99,1.052
2023-01-15,20878.94,1552.71,16.8,2.056,0.3847,0.3256,0.3507,0.0861,22.88,302.03,0.0623,5.921,22.4,174.17,1.063
2023-01-16,21188.92,1577.02,16.75,2.122,0.3861,0.3181,0.3504,0.08366,23.58,298.87,0.06238,5.818,21.87,167.52,1.036
2023-01-17,21136.12,1565.15,17.14,2.065,0.3869,0.3239,0.3455,0.08285,22.89,299.29,0.06166,5.961,21.82,171.21,1.023
2023-01-18,20678.47,1512.28,15.83,1.858,0.3788,0.2977,0.3266,0.08004,20.81,286.83,0.05888,5.643,20.41,163.66,0.9591
2023-01-19,21082.28,1551.2,16.18,1.954,0.3931,0.3043,0.3381,0.08159,21.4,294.65,0.06007,5.802,20.74,164.98,0.9806
2023-01-20,22676.2,1659.02,17.5,2.095,0.413,0.3477,0.3652,0.08621,25.54,305.02,0.06267,6.242,22.47,172.86,1.046
2023-01-21,22789.92,1626.68,16.88,2.213,0.4033,0.3415,0.3687,0.08463,24.57,299.04,0.06167,6.228,21.8,172.19,1.029
2023-01-22,22714.99,1627.79,17.36,2.295,0.4007,0.3806,0.3765,0.08823,24.22,302.76,0.06163,6.206,22.56,176.45,1.083
2023-01-23,22917.47,1626.47,17.98,2.249,0.4238,0.4019,0.375,0.08848,24.35,305.24,0.06273,6.567,22.76,178.42,1.095
2023-01-24,22637.8,1556.12,17.0,2.036,0.4077,0.3759,0.3589,0.08389,22.77,300.46,0.06016,6.185,21.2,171.53,1.038
2023-01-25,23066.28,1610.94,17.79,2.181,0.4171,0.4093,0.3733,0.08653,24.51,307.0,0.0617,6.393,21.85,172.56,1.089
2023-01-26,23009.15,1601.35,18.1,2.16,0.4093,0.4849,0.3798,0.08637,24.35,304.86,0.06168,6.469,21.99,172.86,1.088
2023-01-27,23048.27,1582.95,18.12,2.123,0.4065,0.4622,0.3794,0.0857,23.96,305.33,0.0622,6.417,21.72,172.6,1.109
